# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.520823161098e-02       1.666758548120e+04 
       3.536973305300e-02       1.659504601406e+04 
       3.553204774336e-02       1.652260408521e+04 
       3.569520003951e-02       1.645023971430e+04 
       3.585921523305e-02       1.637783795021e+04 
       3.602411959615e-02       1.630557367725e+04 
       3.618994043092e-02       1.623330473475e+04 
       3.635670612186e-02       1.616112066658e+04 
       3.652444619170e-02       1.608892905157e+04 
       3.669319136086e-02       1.601679287153e+04 
       3.686297361081e-02       1.594476641019e+04 
       3.703382625166e-02       1.587278035059e+04 
       3.720578399432e-02       1.580084154495e+04 
       3.737888302752e-02       1.572893940056e+04 
       3.755316110028e-02       1.565711126667e+04 
       3.772865761010e-02       1.558528835253e+04 
       3.790541369740e-02       1.551354776170e+04 
       3.808347234680e-02       1.544184291924e+04 
       3.826287849589e-02       1.537021139068e+04 
       3.844367915191e-02       1.529857086166e+04 
       3.862592351732e-02       1.522706607548e+04 
       3.880966312497e-02       1.515552188710e+04 
       3.899495198365e-02       1.508406226244e+04 
       3.918184673519e-02       1.501260462099e+04 
       3.937040682406e-02       1.494121328776e+04 
       3.956069468067e-02       1.486982015495e+04 
       3.975277591988e-02       1.479847712321e+04 
       3.994671955603e-02       1.472715883700e+04 
       4.014259823622e-02       1.465583265916e+04 
       4.034048849389e-02       1.458457556928e+04 
       4.054047102446e-02       1.451327222287e+04 
       4.074263098580e-02       1.444199952652e+04 
       4.094705832581e-02       1.437070891564e+04 
       4.115384814039e-02       1.429941651008e+04 
       4.136310106500e-02       1.422814620364e+04 
       4.157492370375e-02       1.415677893114e+04 
       4.178942910027e-02       1.408546874937e+04 
       4.200673725534e-02       1.401410015245e+04 
       4.222697569687e-02       1.394266472735e+04 
       4.245028010861e-02       1.387118592698e+04 
       4.267679502492e-02       1.379962904385e+04 
       4.290667460003e-02       1.372802493506e+04 
       4.314008346130e-02       1.365635373974e+04 
       4.337719765775e-02       1.358452428947e+04 
       4.361820571654e-02       1.351262440341e+04 
       4.386330982236e-02       1.344061500065e+04 
       4.411272713690e-02       1.336846847139e+04 
       4.436669127854e-02       1.329613961273e+04 
       4.462545398581e-02       1.322365172512e+04 
       4.488928699194e-02       1.315098320045e+04 
       4.515848414315e-02       1.307816025828e+04 
       4.543336379861e-02       1.300504882991e+04 
       4.571427155733e-02       1.293171394802e+04 
       4.600158336582e-02       1.285811127818e+04 
       4.629570907023e-02       1.278418795508e+04 
       4.659709648983e-02       1.270992506867e+04 
       4.690623610374e-02       1.263536846210e+04 
       4.722366646187e-02       1.256038966458e+04 
       4.754998045456e-02       1.248499669144e+04 
       4.788583260440e-02       1.240914740703e+04 
       4.823194757985e-02       1.233277813379e+04 
       4.858913017567e-02       1.225582800458e+04 
       4.895827706185e-02       1.217826246329e+04 
       4.934039067441e-02       1.210007447409e+04 
       4.973659571221e-02       1.202108000692e+04 
       5.014815881851e-02       1.194134153625e+04 
       5.057651217286e-02       1.186065097713e+04 
       5.102328190483e-02       1.177899196640e+04 
       5.149032247919e-02       1.169622590956e+04 
       5.197975850444e-02       1.161210186442e+04 
       5.249403579957e-02       1.152671910567e+04 
       5.303598403422e-02       1.143969535299e+04 
       5.360889384986e-02       1.135088014903e+04 
       5.421661207615e-02       1.126002050582e+04 
       5.486365945544e-02       1.116677394881e+04 
       5.555537608648e-02       1.107072694687e+04 
