# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.851057198001e-02       2.003095571776e+04 
       2.865116551275e-02       1.996041920784e+04 
       2.879201432730e-02       1.988975282631e+04 
       2.893312442082e-02       1.981890201544e+04 
       2.907450195354e-02       1.974780786248e+04 
       2.921615325408e-02       1.967657879666e+04 
       2.935808482489e-02       1.960521733410e+04 
       2.950030334802e-02       1.953368543882e+04 
       2.964281569104e-02       1.946199772557e+04 
       2.978562891323e-02       1.939026367614e+04 
       2.992875027206e-02       1.931832262298e+04 
       3.007218722991e-02       1.924621069725e+04 
       3.021594746104e-02       1.917410056579e+04 
       3.036003885896e-02       1.910182351997e+04 
       3.050446954397e-02       1.902942758203e+04 
       3.064924787117e-02       1.895698528266e+04 
       3.079438243873e-02       1.888446178496e+04 
       3.093988209656e-02       1.881184887121e+04 
       3.108575595533e-02       1.873916114129e+04 
       3.123201339595e-02       1.866641423475e+04 
       3.137866407942e-02       1.859360596430e+04 
       3.152571795720e-02       1.852072959045e+04 
       3.167318528197e-02       1.844778709036e+04 
       3.182107661893e-02       1.837485071478e+04 
       3.196940285771e-02       1.830185853735e+04 
       3.211817522467e-02       1.822878327643e+04 
       3.226740529595e-02       1.815567995151e+04 
       3.241710501109e-02       1.808262736892e+04 
       3.256728668728e-02       1.800957854062e+04 
       3.271796303435e-02       1.793648577305e+04 
       3.286914717052e-02       1.786327930414e+04 
       3.302085263888e-02       1.779020037497e+04 
       3.317309342480e-02       1.771704718292e+04 
       3.332588397412e-02       1.764392199650e+04 
       3.347923921237e-02       1.757081261513e+04 
       3.363317456495e-02       1.749766827445e+04 
       3.378770597837e-02       1.742460141954e+04 
       3.394284994271e-02       1.735152982886e+04 
       3.409862351514e-02       1.727843772840e+04 
       3.425504434483e-02       1.720544442919e+04 
       3.441213069927e-02       1.713241289070e+04 
       3.456990149190e-02       1.705945068979e+04 
       3.472837631146e-02       1.698651521002e+04 
       3.488757545292e-02       1.691361188602e+04 
       3.504751995024e-02       1.684072331796e+04 
       3.520823161098e-02       1.676789973950e+04 
       3.536973305300e-02       1.669506831131e+04 
       3.553204774336e-02       1.662233307528e+04 
       3.569520003951e-02       1.654967399209e+04 
       3.585921523305e-02       1.647697546838e+04 
       3.602411959615e-02       1.640441343400e+04 
       3.618994043092e-02       1.633184491419e+04 
       3.635670612186e-02       1.625935998203e+04 
       3.652444619170e-02       1.618686565445e+04 
       3.669319136086e-02       1.611442529566e+04 
       3.686297361081e-02       1.604209347708e+04 
       3.703382625166e-02       1.596980044171e+04 
       3.720578399432e-02       1.589755306712e+04 
       3.737888302752e-02       1.582534066481e+04 
       3.755316110028e-02       1.575320078347e+04 
       3.772865761010e-02       1.568106420358e+04 
       3.790541369740e-02       1.560900847076e+04 
       3.808347234680e-02       1.553698672262e+04 
       3.826287849589e-02       1.546503676388e+04 
       3.844367915191e-02       1.539307580377e+04 
       3.862592351732e-02       1.532124946684e+04 
       3.880966312497e-02       1.524938160268e+04 
       3.899495198365e-02       1.517759696344e+04 
       3.918184673519e-02       1.510581252578e+04 
       3.937040682406e-02       1.503409305596e+04 
       3.956069468067e-02       1.496237011004e+04 
       3.975277591988e-02       1.489069593552e+04 
       3.994671955603e-02       1.481904510135e+04 
       4.014259823622e-02       1.474738482199e+04 
       4.034048849389e-02       1.467579257794e+04 
       4.054047102446e-02       1.460415236849e+04 
       4.074263098580e-02       1.453254157447e+04 
       4.094705832581e-02       1.446091134066e+04 
       4.115384814039e-02       1.438927787645e+04 
       4.136310106500e-02       1.431766521307e+04 
       4.157492370375e-02       1.424595352339e+04 
       4.178942910027e-02       1.417429775794e+04 
       4.200673725534e-02       1.410258165602e+04 
       4.222697569687e-02       1.403079673583e+04 
       4.245028010861e-02       1.395896653951e+04 
       4.267679502492e-02       1.388705612655e+04 
       4.290667460003e-02       1.381509652592e+04 
       4.314008346130e-02       1.374306775849e+04 
       4.337719765775e-02       1.367087811673e+04 
       4.361820571654e-02       1.359861598223e+04 
       4.386330982236e-02       1.352624207761e+04 
       4.411272713690e-02       1.345372866910e+04 
       4.436669127854e-02       1.338103033231e+04 
       4.462545398581e-02       1.330817056327e+04 
       4.488928699194e-02       1.323512762851e+04 
       4.515848414315e-02       1.316192793564e+04 
       4.543336379861e-02       1.308843657565e+04 
       4.571427155733e-02       1.301471894493e+04 
       4.600158336582e-02       1.294073033594e+04 
       4.629570907023e-02       1.286641747018e+04 
       4.659709648983e-02       1.279176121220e+04 
       4.690623610374e-02       1.271680755225e+04 
       4.722366646187e-02       1.264142714701e+04 
       4.754998045456e-02       1.256562794790e+04 
       4.788583260440e-02       1.248936751003e+04 
       4.823194757985e-02       1.241258173726e+04 
       4.858913017567e-02       1.233520939567e+04 
       4.895827706185e-02       1.225721570430e+04 
       4.934039067441e-02       1.217859354094e+04 
       4.973659571221e-02       1.209915765087e+04 
       5.014815881851e-02       1.201897067824e+04 
       5.057651217286e-02       1.193782297480e+04 
       5.102328190483e-02       1.185569765142e+04 
       5.149032247919e-02       1.177245481641e+04 
       5.197975850444e-02       1.168784149431e+04 
       5.249403579957e-02       1.160195719015e+04 
       5.303598403422e-02       1.151441693875e+04 
       5.360889384986e-02       1.142506900345e+04 
       5.421661207615e-02       1.133365829563e+04 
       5.486365945544e-02       1.123983927118e+04 
       5.555537608648e-02       1.114319440242e+04 
       5.629810037075e-02       1.104329888658e+04 
       5.709938708358e-02       1.093947395557e+04 
       5.796826824764e-02       1.083087862968e+04 
       5.891555469897e-02       1.071646013625e+04 
       5.995416277487e-02       1.059489344235e+04 
       6.109942281275e-02       1.046419909780e+04 
       6.236927410158e-02       1.032191848153e+04 
       6.378416324760e-02       1.016471862979e+04 
       6.536633835660e-02       9.988202295383e+03 
       6.713811137474e-02       9.786887993514e+03 
       6.911868846914e-02       9.554317606934e+03 
       7.131961840387e-02       9.283914916144e+03 
       7.373998962901e-02       8.970573415324e+03 
       7.636375449820e-02       8.612923381916e+03 
       7.916148889807e-02       8.215285441017e+03 
       8.209649526012e-02       7.788254876003e+03 
       8.513222551234e-02       7.347227482518e+03 
       8.823761411256e-02       6.909721312925e+03 
       9.138909140136e-02       6.492372569663e+03 
       9.457013477028e-02       6.108782310131e+03 
       9.776975996147e-02       5.768256773406e+03 
       1.009809117750e-01       5.475498552095e+03 
       1.041991564299e-01       5.230877131269e+03 
       1.074217451225e-01       5.031197229862e+03 
       1.106469878101e-01       4.870502486852e+03 
       1.138738506104e-01       4.740946953386e+03 
       1.171017029028e-01       4.633634722447e+03 
       1.203301606530e-01       4.539463534643e+03 
       1.235589901540e-01       4.449841477163e+03 
       1.267880491804e-01       4.357453375377e+03 
       1.300172511241e-01       4.256833214600e+03 
       1.332465431747e-01       4.144777140133e+03 
       1.364758930585e-01       4.020444302207e+03 
       1.397052809844e-01       3.885181783235e+03 
       1.429346947528e-01       3.742077807128e+03 
       1.461641267862e-01       3.595354495264e+03 
       1.493935723256e-01       3.449686023318e+03 
       1.526230283349e-01       3.309586397171e+03 
       1.558524928351e-01       3.178922083892e+03 
       1.590819644993e-01       3.060558969206e+03 
       1.623114424059e-01       2.956207993123e+03 
       1.655409258877e-01       2.866405219517e+03 
       1.687704144403e-01       2.790609225626e+03 
       1.719999076648e-01       2.727375541604e+03 
       1.752294052335e-01       2.674576012506e+03 
       1.784589068674e-01       2.629640145997e+03 
       1.816884123231e-01       2.589813019036e+03 
       1.849179213835e-01       2.552698939199e+03 
       1.881474338521e-01       2.515828651391e+03 
       1.913769495494e-01       2.476864572888e+03 
       1.946064683099e-01       2.434404273740e+03 
       1.978359899803e-01       2.387765122605e+03 
       2.010655144181e-01       2.337003897907e+03 
       2.042950414902e-01       2.282826578081e+03 
       2.075245710722e-01       2.226423632435e+03 
       2.107541030476e-01       2.169215097810e+03 
       2.139836373069e-01       2.112677873279e+03 
       2.172131737476e-01       2.058163854477e+03 
       2.204427122729e-01       2.006765821340e+03 
       2.236722527919e-01       1.959287473892e+03 
       2.269017952188e-01       1.916206391640e+03 
       2.301313394728e-01       1.877688389700e+03 
       2.333608854774e-01       1.843606224238e+03 
       2.365904331604e-01       1.813560740090e+03 
       2.398199824537e-01       1.786935883620e+03 
       2.430495332925e-01       1.762952937087e+03 
       2.462790856157e-01       1.740755569653e+03 
       2.495086393653e-01       1.719498356417e+03 
       2.527381944863e-01       1.698427423192e+03 
       2.559677509263e-01       1.676939190339e+03 
       2.591973086359e-01       1.654623515503e+03 
       2.624268675678e-01       1.631267208778e+03 
       2.656564276772e-01       1.606843225391e+03 
       2.688859889214e-01       1.581505889042e+03 
       2.721155512598e-01       1.555521258189e+03 
       2.753451146536e-01       1.529281276411e+03 
       2.785746790660e-01       1.503221030676e+03 
       2.818042444616e-01       1.477777000114e+03 
       2.850338108070e-01       1.453344030712e+03 
       2.882633780700e-01       1.430226870637e+03 
       2.914929462199e-01       1.408616487797e+03 
       2.947225152274e-01       1.388586747116e+03 
       2.979520850645e-01       1.370091929958e+03 
       3.011816557044e-01       1.353003816502e+03 
       3.044112271213e-01       1.337125291697e+03 
       3.076407992907e-01       1.322226333201e+03 
       3.108703721890e-01       1.308060439483e+03 
       3.140999457936e-01       1.294378384548e+03 
       3.173295200828e-01       1.280951010900e+03 
       3.205590950359e-01       1.267580754208e+03 
       3.237886706328e-01       1.254118062793e+03 
       3.270182468543e-01       1.240472522201e+03 
       3.302478236822e-01       1.226618402524e+03 
       3.334774010987e-01       1.212588386426e+03 
       3.367069790867e-01       1.198466138713e+03 
       3.399365576299e-01       1.184359567898e+03 
       3.431661367125e-01       1.170388203004e+03 
       3.463957163195e-01       1.156671680295e+03 
       3.496252964361e-01       1.143314300076e+03 
       3.528548770484e-01       1.130401309500e+03 
       3.560844581427e-01       1.117997670275e+03 
       3.593140397061e-01       1.106140847804e+03 
       3.625436217260e-01       1.094839867378e+03 
       3.657732041901e-01       1.084074298502e+03 
       3.690027870868e-01       1.073795356737e+03 
       3.722323704047e-01       1.063931187250e+03 
       3.754619541331e-01       1.054402457056e+03 
       3.786915382612e-01       1.045125229136e+03 
       3.819211227790e-01       1.036025388766e+03 
       3.851507076765e-01       1.027044713191e+03 
       3.883802929443e-01       1.018141179299e+03 
       3.916098785732e-01       1.009286922405e+03 
       3.948394645543e-01       1.000469295231e+03 
       3.980690508789e-01       9.916875203101e+02 
       4.012986375388e-01       9.829495646462e+02 
       4.045282245258e-01       9.742767105410e+02 
       4.077578118322e-01       9.656968578643e+02 
       4.109873994505e-01       9.572437777970e+02 
       4.142169873732e-01       9.489485126460e+02 
       4.174465755933e-01       9.408379209588e+02 
       4.206761641040e-01       9.329296225474e+02 
       4.239057528985e-01       9.252330500093e+02 
       4.271353419704e-01       9.177484020562e+02 
       4.303649313135e-01       9.104690218974e+02 
       4.335945209216e-01       9.033854454322e+02 
