# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   88       3.148648322250e-10       7.955816129704e-14      -2.070920378385e-12       3.280207746470e-16       1.393926218316e-11       1.860583722483e-12      -7.855736483127e-15 
   89       3.187241308183e-10       8.164845823877e-14      -2.154296581631e-12       3.355560000075e-16       1.354746686174e-11       1.818398820321e-12      -7.828513219685e-15 
   90       3.226152065277e-10       8.374062827960e-14      -2.238483610692e-12       3.431799294227e-16       1.317048730438e-11       1.777676462783e-12      -7.802388426574e-15 
   91       3.265371916415e-10       8.583282491618e-14      -2.323421854274e-12       3.508929023274e-16       1.280722302128e-11       1.738304532670e-12      -7.773989542031e-15 
   92       3.304889217240e-10       8.792315754474e-14      -2.409050003147e-12       3.586952768464e-16       1.245633397382e-11       1.700145590900e-12      -7.739624405088e-15 
   93       3.344692888925e-10       9.000971989547e-14      -2.495305796378e-12       3.665874376840e-16       1.211655852128e-11       1.663070686887e-12      -7.696122934411e-15 
   94       3.384783885505e-10       9.209068013899e-14      -2.582128371903e-12       3.745698201583e-16       1.178773982791e-11       1.627068514794e-12      -7.643526554743e-15 
   95       3.425165236900e-10       9.416420447042e-14      -2.669456285195e-12       3.826428906389e-16       1.146993933745e-11       1.592151126400e-12      -7.582788471295e-15 
   96       3.465838480379e-10       9.622843034826e-14      -2.757226819639e-12       3.908071399848e-16       1.116312065750e-11       1.558320307948e-12      -7.514961639801e-15 
   97       3.506803590432e-10       9.828146692491e-14      -2.845376004282e-12       3.990630841008e-16       1.086714581119e-11       1.525567177748e-12      -7.441201427049e-15 
   98       3.548058908659e-10       1.003213954773e-13      -2.933838631577e-12       4.074112644944e-16       1.058177148886e-11       1.493871783781e-12      -7.362768271416e-15 
   99       3.589601073644e-10       1.023462698375e-13      -3.022548275131e-12       4.158522488328e-16       1.030664529970e-11       1.463202701303e-12      -7.281030343400e-15 
  100       3.631424950844e-10       1.043541168232e-13      -3.111437307452e-12       4.243866314995e-16       1.004130202344e-11       1.433516630452e-12      -7.197466206153e-15 
  101       3.673523562460e-10       1.063429366685e-13      -3.200436917693e-12       4.330150341510e-16       9.785159862024e-12       1.404757993847e-12      -7.113667476013e-15 
  102       3.715888017330e-10       1.083107034543e-13      -3.289477129402e-12       4.417381062739e-16       9.537516691261e-12       1.376858534196e-12      -7.031341483038e-15 
  103       3.758507440799e-10       1.102553655392e-13      -3.378486818265e-12       4.505565257412e-16       9.297546312505e-12       1.349736911896e-12      -6.952313931537e-15 
  104       3.801371253306e-10       1.121748971453e-13      -3.467394305303e-12       4.594709799480e-16       9.064485769575e-12       1.323317931372e-12      -6.878139220759e-15 
  105       3.844476507692e-10       1.140674601266e-13      -3.556129189486e-12       4.684821051142e-16       8.838234190825e-12       1.297594044662e-12      -6.808865725905e-15 
  106       3.887821416947e-10       1.159312649580e-13      -3.644620796918e-12       4.775905397824e-16       8.618828230538e-12       1.272571444566e-12      -6.744107908102e-15 
  107       3.931403050244e-10       1.177645225113e-13      -3.732797651271e-12       4.867969438459e-16       8.406256598642e-12       1.248250993385e-12      -6.683422128934e-15 
  108       3.975217288633e-10       1.195654450486e-13      -3.820587497855e-12       4.961019988930e-16       8.200458411998e-12       1.224628036222e-12      -6.626304999548e-15 
  109       4.019258780729e-10       1.213322472146e-13      -3.907917327693e-12       5.055064085495e-16       8.001321545688e-12       1.201692214293e-12      -6.572191729758e-15 
  110       4.063520898406e-10       1.230631470292e-13      -3.994713401588e-12       5.150108988226e-16       7.808680984301e-12       1.179427278226e-12      -6.520454477153e-15 
  111       4.107995692484e-10       1.247563668809e-13      -4.080901274190e-12       5.246162184439e-16       7.622317173219e-12       1.157810901366e-12      -6.470400696201e-15 
  112       4.152673848425e-10       1.264101345189e-13      -4.166405818072e-12       5.343231392132e-16       7.441954369906e-12       1.136814493082e-12      -6.421271487357e-15 
  113       4.197544642021e-10       1.280226840461e-13      -4.251151247798e-12       5.441324563413e-16       7.267258995196e-12       1.116403012067e-12      -6.372239946166e-15 
  114       4.242595895083e-10       1.295922569120e-13      -4.335061143991e-12       5.540449887939e-16       7.097837984577e-12       1.096534779647e-12      -6.322409512373e-15 
  115       4.287813931136e-10       1.311171029050e-13      -4.418058477404e-12       5.640615796347e-16       6.933237139480e-12       1.077161293082e-12      -6.270812319026e-15 
  116       4.333185510410e-10       1.325955287582e-13      -4.500066591357e-12       5.741830705122e-16       6.773040731674e-12       1.058237960609e-12      -6.216614794726e-15 
  117       4.378703996443e-10       1.340260485468e-13      -4.581012233076e-12       5.844102208680e-16       6.617187579829e-12       1.039758186411e-12      -6.159766358815e-15 
  118       4.424363859505e-10       1.354072535254e-13      -4.660822937821e-12       5.947437795048e-16       6.465690484744e-12       1.021723098440e-12      -6.100426862274e-15 
  119       4.470158737864e-10       1.367377675498e-13      -4.739426135691e-12       6.051845096776e-16       6.318537669499e-12       1.004130908334e-12      -6.038766571206e-15 
  120       4.516081410978e-10       1.380162484906e-13      -4.816749184167e-12       6.157331892082e-16       6.175692026000e-12       9.869768212888e-13      -5.974966348410e-15 
  121       4.562123772685e-10       1.392413896476e-13      -4.892719400654e-12       6.263906106002e-16       6.037090361515e-12       9.702529459288e-13      -5.909217834971e-15 
  122       4.608276804396e-10       1.404119211627e-13      -4.967264095028e-12       6.371575811537e-16       5.902642645215e-12       9.539482041785e-13      -5.841723631838e-15 
  123       4.654530548286e-10       1.415266114340e-13      -5.040310602176e-12       6.480349230799e-16       5.772231254718e-12       9.380482411341e-13      -5.772697481409e-15 
  124       4.700874080485e-10       1.425842685295e-13      -5.111786314543e-12       6.590234736160e-16       5.645710222621e-12       9.225353349344e-13      -5.702364449115e-15 
  125       4.747295484270e-10       1.435837416009e-13      -5.181618714672e-12       6.701240851398e-16       5.522904483047e-12       9.073883066328e-13      -5.630961105000e-15 
  126       4.793781823256e-10       1.445239222972e-13      -5.249735407752e-12       6.813376252845e-16       5.403609118184e-12       8.925824300680e-13      -5.558735705306e-15 
  127       4.840319114588e-10       1.454037461784e-13      -5.316064154159e-12       6.926649770536e-16       5.287588604820e-12       8.780893417358e-13      -5.485948374056e-15 
  128       4.886892302130e-10       1.462221941294e-13      -5.380532902000e-12       7.041070389354e-16       5.174576060891e-12       8.638769506603e-13      -5.412871284634e-15 
  129       4.933486758797e-10       1.469783341499e-13      -5.443070510646e-12       7.156646981293e-16       5.064330626706e-12       8.499170270047e-13      -5.339752415072e-15 
  130       4.980093036805e-10       1.476714489061e-13      -5.503608941947e-12       7.273387466595e-16       4.956818326074e-12       8.362091005629e-13      -5.266701932735e-15 
  131       5.026702590292e-10       1.483009249086e-13      -5.562081372015e-12       7.391299562331e-16       4.852049714343e-12       8.227590258415e-13      -5.193793631032e-15 
  132       5.073306277181e-10       1.488662150756e-13      -5.618421558902e-12       7.510391042263e-16       4.750023188065e-12       8.095715034909e-13      -5.121100160179e-15 
  133       5.119894343316e-10       1.493668404363e-13      -5.672563880089e-12       7.630669736075e-16       4.650724647528e-12       7.966500451230e-13      -5.048692948130e-15 
  134       5.166456406591e-10       1.498023918330e-13      -5.724443369975e-12       7.752143528590e-16       4.554127159285e-12       7.839969381292e-13      -4.976642121503e-15 
  135       5.212981441089e-10       1.501725316240e-13      -5.773995757362e-12       7.874820358995e-16       4.460190618685e-12       7.716132104973e-13      -4.905016426517e-15 
  136       5.259457761208e-10       1.504769953861e-13      -5.821157502947e-12       7.998708220067e-16       4.368861412405e-12       7.594985956297e-13      -4.833883149913e-15 
  137       5.305873005803e-10       1.507155936172e-13      -5.865865836806e-12       8.123815157394e-16       4.280072080979e-12       7.476514971609e-13      -4.763308039889e-15 
  138       5.352214122312e-10       1.508882134392e-13      -5.908058795887e-12       8.250149268598e-16       4.193740981330e-12       7.360689537750e-13      -4.693355227029e-15 
  139       5.398467350895e-10       1.509948203004e-13      -5.947675261494e-12       8.377718702561e-16       4.109771949299e-12       7.247466040234e-13      -4.624087145230e-15 
  140       5.444618208562e-10       1.510354596782e-13      -5.984654996778e-12       8.506531658645e-16       4.028053962178e-12       7.136786511424e-13      -4.555564452634e-15 
  141       5.490651473311e-10       1.510102587818e-13      -6.018938684222e-12       8.636596385919e-16       3.948460801240e-12       7.028578278709e-13      -4.487845952556e-15 
  142       5.536551168258e-10       1.509194282549e-13      -6.050467963134e-12       8.767921182378e-16       3.870850714267e-12       6.922753612679e-13      -4.420988514416e-15 
  143       5.582300545774e-10       1.507632638780e-13      -6.079185467130e-12       8.900514394172e-16       3.795066078085e-12       6.819209375302e-13      -4.355046994665e-15 
  144       5.627883449471e-10       1.505421598904e-13      -6.105035415582e-12       9.034383919587e-16       3.720966461712e-12       6.717849059223e-13      -4.290060338906e-15 
  145       5.673288585010e-10       1.502566468399e-13      -6.127965374527e-12       9.169535667537e-16       3.648532201934e-12       6.618652097224e-13      -4.226008510956e-15 
