# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   60       2.194811608962e-10       2.808500118329e-14      -2.563634370050e-13       0.000000000000e+00       3.494910846066e-11       4.007524776333e-12      -1.082660637201e-14 
   61       2.224727031496e-10       2.951587214215e-14      -2.995833349892e-13       0.000000000000e+00       3.365381636310e-11       3.877203375403e-12      -1.105270040995e-14 
   62       2.254896598750e-10       3.098490192394e-14      -3.445868025469e-13       0.000000000000e+00       3.241769245576e-11       3.753340544778e-12      -1.117319681439e-14 
   63       2.285340629565e-10       3.249132715356e-14      -3.913642290574e-13       0.000000000000e+00       3.124080088921e-11       3.635834079094e-12      -1.119921966180e-14 
   64       2.316073310656e-10       3.403427659393e-14      -4.399036069383e-13       0.000000000000e+00       3.012185338164e-11       3.524423121523e-12      -1.114427907736e-14 
   65       2.347102230197e-10       3.561276808804e-14      -4.901905136505e-13       0.000000000000e+00       2.905813221997e-11       3.418679377408e-12      -1.102437676172e-14 
   66       2.378427911403e-10       3.722570550101e-14      -5.422080937011e-13       0.000000000000e+00       2.804541326105e-11       3.317998327906e-12      -1.085811151784e-14 
   67       2.410043346119e-10       3.887187566211e-14      -5.959370406483e-13       0.000000000000e+00       2.707788893289e-11       3.221590443618e-12      -1.066678477779e-14 
   68       2.441940250812e-10       4.055006630870e-14      -6.513565326978e-13       0.000000000000e+00       2.614971894972e-11       3.128683146974e-12      -1.047030337561e-14 
   69       2.474130349109e-10       4.225945450477e-14      -7.084472998613e-13       0.000000000000e+00       2.526021944650e-11       3.039193860031e-12      -1.027368792911e-14 
   70       2.506627583588e-10       4.399929179443e-14      -7.671891488118e-13       0.000000000000e+00       2.440959180678e-11       2.953178176276e-12      -1.007800771339e-14 
   71       2.539441485729e-10       4.576879019973e-14      -8.275600705578e-13       0.000000000000e+00       2.359735324579e-11       2.870627843004e-12      -9.884339607825e-15 
   72       2.572576881420e-10       4.756712225745e-14      -8.895362468356e-13       0.000000000000e+00       2.282230144118e-11       2.791467364947e-12      -9.693766135550e-15 
   73       2.606033596481e-10       4.939342105583e-14      -9.530920565022e-13       0.000000000000e+00       2.208247916369e-11       2.715550607905e-12      -9.507373502969e-15 
   74       2.639806162171e-10       5.124678027125e-14      -1.018200081928e-12       0.000000000000e+00       2.137513890786e-11       2.642657402378e-12      -9.326249639240e-15 
   75       2.673883520706e-10       5.312625420499e-14      -1.084831115389e-12       0.000000000000e+00       2.069670752273e-11       2.572490147196e-12      -9.151482235775e-15 
   76       2.708254723219e-10       5.503080190894e-14      -1.152953532468e-12       0.000000000000e+00       2.004367305083e-11       2.504752999478e-12      -8.984147058237e-15 
   77       2.742927874179e-10       5.695910771857e-14      -1.222531266210e-12       0.000000000000e+00       1.941551013292e-11       2.439413623842e-12      -8.825274755672e-15 
   78       2.777914122606e-10       5.890972790791e-14      -1.293525473442e-12       0.000000000000e+00       1.881222628453e-11       2.376483225669e-12      -8.675874408901e-15 
   79       2.813221807270e-10       6.088114260551e-14      -1.365895128512e-12       0.000000000000e+00       1.823347082069e-11       2.315936523877e-12      -8.536940596040e-15 
   80       2.848856285081e-10       6.287175468460e-14      -1.439597016700e-12       0.000000000000e+00       1.767851839725e-11       2.257710048056e-12      -8.409451232525e-15 
   81       2.884819759485e-10       6.487988865337e-14      -1.514585727631e-12       0.000000000000e+00       1.714625255220e-11       2.201700435599e-12      -8.294365411138e-15 
   82       2.921111108859e-10       6.690378954517e-14      -1.590813648686e-12       0.000000000000e+00       1.663514924702e-11       2.147762728825e-12      -8.192621242029e-15 
   83       2.957725714904e-10       6.894162180871e-14      -1.668230958421e-12       0.000000000000e+00       1.614326040797e-11       2.095708672120e-12      -8.105133692743e-15 
   84       2.994658344268e-10       7.099153644167e-14      -1.746786457014e-12       0.000000000000e+00       1.566868733281e-11       2.045354055146e-12      -8.032384445543e-15 
   85       3.031912718192e-10       7.305188760958e-14      -1.826430230260e-12       0.000000000000e+00       1.521112713599e-11       1.996673490348e-12      -7.973118078336e-15 
   86       3.069493222054e-10       7.512105006998e-14      -1.907111417187e-12       0.000000000000e+00       1.477055368713e-11       1.949668291459e-12      -7.925424772984e-15 
   87       3.107401874678e-10       7.719735415863e-14      -1.988777419651e-12       0.000000000000e+00       1.434674243526e-11       1.904318843152e-12      -7.887120196283e-15 
   88       3.145638208037e-10       7.927908582665e-14      -2.071373909814e-12       0.000000000000e+00       1.393926218316e-11       1.860583722483e-12      -7.855736483127e-15 
   89       3.184199146968e-10       8.136448667773e-14      -2.154844837630e-12       0.000000000000e+00       1.354746686174e-11       1.818398820321e-12      -7.828513219685e-15 
   90       3.223078888877e-10       8.345175400526e-14      -2.239132438319e-12       0.000000000000e+00       1.317048730438e-11       1.777676462783e-12      -7.802388426574e-15 
   91       3.262268783452e-10       8.553904082953e-14      -2.324177239853e-12       0.000000000000e+00       1.280722302128e-11       1.738304532670e-12      -7.773989542031e-15 
   92       3.301757212366e-10       8.762445593493e-14      -2.409918070430e-12       0.000000000000e+00       1.245633397382e-11       1.700145590900e-12      -7.739624405088e-15 
   93       3.341533128291e-10       8.970609204742e-14      -2.496292799898e-12       0.000000000000e+00       1.211655852128e-11       1.663070686887e-12      -7.696122934411e-15 
   94       3.381597542058e-10       9.178211513423e-14      -2.583240675296e-12       0.000000000000e+00       1.178773982791e-11       1.627068514794e-12      -7.643526554743e-15 
   95       3.421953548800e-10       9.385068866609e-14      -2.670700352043e-12       0.000000000000e+00       1.146993933745e-11       1.592151126400e-12      -7.582788471295e-15 
   96       3.462602753464e-10       9.590994709134e-14      -2.758609208618e-12       0.000000000000e+00       1.116312065750e-11       1.558320307948e-12      -7.514961639801e-15 
   97       3.503545200757e-10       9.795799625940e-14      -2.846903364117e-12       0.000000000000e+00       1.086714581119e-11       1.525567177748e-12      -7.441201427049e-15 
   98       3.544779305083e-10       9.999291384418e-14      -2.935517695806e-12       0.000000000000e+00       1.058177148886e-11       1.493871783781e-12      -7.362768271416e-15 
   99       3.586301780479e-10       1.020127497676e-13      -3.024385856682e-12       0.000000000000e+00       1.030664529970e-11       1.463202701303e-12      -7.281030343400e-15 
  100       3.628107570562e-10       1.040155266229e-13      -3.113440293022e-12       0.000000000000e+00       1.004130202344e-11       1.433516630452e-12      -7.197466206153e-15 
  101       3.670189778460e-10       1.059992400983e-13      -3.202612261938e-12       0.000000000000e+00       9.785159862024e-12       1.404757993847e-12      -7.113667476013e-15 
  102       3.712539596760e-10       1.079618594003e-13      -3.291831848939e-12       0.000000000000e+00       9.537516691261e-12       1.376858534196e-12      -7.031341483038e-15 
  103       3.755146237440e-10       1.099013276771e-13      -3.381027985479e-12       0.000000000000e+00       9.297546312505e-12       1.349736911896e-12      -6.952313931537e-15 
  104       3.797999202449e-10       1.118156135312e-13      -3.470129043310e-12       0.000000000000e+00       9.064485769575e-12       1.323317931372e-12      -6.878139220759e-15 
  105       3.841095595645e-10       1.137028725692e-13      -3.559064671156e-12       0.000000000000e+00       8.838234190825e-12       1.297594044662e-12      -6.808865725905e-15 
  106       3.884433672575e-10       1.155613085660e-13      -3.647764240030e-12       0.000000000000e+00       8.618828230538e-12       1.272571444566e-12      -6.744107908102e-15 
  107       3.928010544245e-10       1.173891252976e-13      -3.736156312200e-12       0.000000000000e+00       8.406256598642e-12       1.248250993385e-12      -6.683422128934e-15 
  108       3.971822132773e-10       1.191845275257e-13      -3.824168665083e-12       0.000000000000e+00       8.200458411998e-12       1.224628036222e-12      -6.626304999548e-15 
  109       4.015863127056e-10       1.209457219830e-13      -3.911728315136e-12       0.000000000000e+00       8.001321545688e-12       1.201692214293e-12      -6.572191729758e-15 
  110       4.060126938429e-10       1.226709183580e-13      -3.998761541754e-12       0.000000000000e+00       7.808680984301e-12       1.179427278226e-12      -6.520454477153e-15 
  111       4.104605656325e-10       1.243583302795e-13      -4.085193911159e-12       0.000000000000e+00       7.622317173219e-12       1.157810901366e-12      -6.470400696201e-15 
  112       4.149290003935e-10       1.260061763017e-13      -4.170950300298e-12       0.000000000000e+00       7.441954369906e-12       1.136814493082e-12      -6.421271487357e-15 
  113       4.194169293872e-10       1.276126808893e-13      -4.255954920733e-12       0.000000000000e+00       7.267258995196e-12       1.116403012067e-12      -6.372239946166e-15 
  114       4.239231383830e-10       1.291760754019e-13      -4.340131342535e-12       0.000000000000e+00       7.097837984577e-12       1.096534779647e-12      -6.322409512373e-15 
  115       4.284462632242e-10       1.306945990792e-13      -4.423402518181e-12       0.000000000000e+00       6.933237139480e-12       1.077161293082e-12      -6.270812319026e-15 
  116       4.329849833799e-10       1.321665480294e-13      -4.505691759361e-12       0.000000000000e+00       6.773040731674e-12       1.058237960609e-12      -6.216614794726e-15 
  117       4.375386387750e-10       1.335904268456e-13      -4.586925751071e-12       0.000000000000e+00       6.617187579829e-12       1.039758186411e-12      -6.159766358815e-15 
  118       4.421066799774e-10       1.349648173585e-13      -4.667031950554e-12       0.000000000000e+00       6.465690484744e-12       1.021723098440e-12      -6.100426862274e-15 
  119       4.466884742696e-10       1.362883336758e-13      -4.745937699136e-12       0.000000000000e+00       6.318537669499e-12       1.004130908334e-12      -6.038766571206e-15 
  120       4.512833029647e-10       1.375596235918e-13      -4.823570254548e-12       0.000000000000e+00       6.175692026000e-12       9.869768212888e-13      -5.974966348410e-15 
  121       4.558903587230e-10       1.387773699967e-13      -4.899856823243e-12       0.000000000000e+00       6.037090361515e-12       9.702529459288e-13      -5.909217834971e-15 
  122       4.605087428693e-10       1.399402922858e-13      -4.974724592715e-12       0.000000000000e+00       5.902642645215e-12       9.539482041785e-13      -5.841723631838e-15 
  123       4.651374627085e-10       1.410471477687e-13      -5.048100763822e-12       0.000000000000e+00       5.772231254718e-12       9.380482411341e-13      -5.772697481409e-15 
  124       4.697754288432e-10       1.420967330790e-13      -5.119912583099e-12       0.000000000000e+00       5.645710222621e-12       9.225353349344e-13      -5.702364449115e-15 
  125       4.744214524897e-10       1.430878855831e-13      -5.190087375079e-12       0.000000000000e+00       5.522904483047e-12       9.073883066328e-13      -5.630961105000e-15 
  126       4.790742427946e-10       1.440194847898e-13      -5.258552574617e-12       0.000000000000e+00       5.403609118184e-12       8.925824300680e-13      -5.558735705306e-15 
  127       4.837324041519e-10       1.448904537596e-13      -5.325235759200e-12       0.000000000000e+00       5.287588604820e-12       8.780893417358e-13      -5.485948374056e-15 
  128       4.883944335191e-10       1.456997605139e-13      -5.390064681273e-12       0.000000000000e+00       5.174576060891e-12       8.638769506603e-13      -5.412871284634e-15 
  129       4.930588708283e-10       1.464464598003e-13      -5.452967996125e-12       0.000000000000e+00       5.064330626706e-12       8.499170270047e-13      -5.339752415072e-15 
  130       4.977247745737e-10       1.471298205756e-13      -5.513877467170e-12       0.000000000000e+00       4.956818326074e-12       8.362091005629e-13      -5.266701932735e-15 
  131       5.023912935688e-10       1.477492152359e-13      -5.572726064792e-12       0.000000000000e+00       4.852049714343e-12       8.227590258415e-13      -5.193793631032e-15 
  132       5.070575169557e-10       1.483040821962e-13      -5.629447329391e-12       0.000000000000e+00       4.750023188065e-12       8.095715034909e-13      -5.121100160179e-15 
