# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)rho_efld           15:(.)rho_efld_t         16:(.)w_fld              17:(.)w_efld             18:(.)rho_ur             19:(.)rho_crit           20:(.)rho_tot            21:(.)p_tot              22:(.)p_tot_prime        23:gr.fac. D             24:gr.fac. f          
       7.979346461238e+13       1.187297112974e-25       5.809852154925e-09       1.373524713628e+22       1.027314575301e+04       1.287467062988e-10       8.197298921007e+17       3.354055376757e-09       1.115445515164e+44       5.726667568043e+32       6.789388943914e+33       2.131766915216e-08       5.116183148411e-09       7.699601398919e+37       7.699601396737e+37      -1.000000000000e+00       1.000000000000e-01       7.711238537489e+43       1.886570138947e+44       1.886570138947e+44       6.288565333004e+43      -4.329927962169e+52       6.850030591849e-04       1.377925576500e+00 
       7.894035946874e+13       1.213097917061e-25       5.871697794646e-09       1.344311869473e+22       1.027314575301e+04       1.301380665372e-10       8.109658186174e+17       3.390302511104e-09       1.068502323054e+44       5.544945793474e+32       6.573944308360e+33       2.131766915216e-08       5.116183148411e-09       7.431271145261e+37       7.431271142642e+37      -1.000000000000e+00       1.000000000000e-01       7.386713361536e+43       1.807174402406e+44       1.807174402406e+44       6.023912940486e+43      -4.103359408075e+52       6.951488412836e-04       1.357814582607e+00 
       7.809637522728e+13       1.239459390800e-25       5.935362423770e-09       1.315720339428e+22       1.027314575301e+04       1.315444631471e-10       8.022954454917e+17       3.426941366650e-09       1.023534721195e+44       5.368990514507e+32       6.365336280839e+33       2.131766915216e-08       5.116183148411e-09       7.172292171076e+37       7.172292168121e+37      -1.000000000000e+00       1.000000000000e-01       7.075845730907e+43       1.731120011584e+44       1.731120011584e+44       5.770398364847e+43      -3.888646319095e+52       7.052946233667e-04       1.338282188805e+00 
       7.726141437266e+13       1.266393717938e-25       5.999027052894e-09       1.287736909057e+22       1.027314575301e+04       1.329660586261e-10       7.937177709341e+17       3.463976176709e-09       9.804595674597e+43       5.198618745524e+32       6.163347918333e+33       2.131766915216e-08       5.116183148411e-09       6.922338585456e+37       6.922338582117e+37      -1.000000000000e+00       1.000000000000e-01       6.778060871876e+43       1.658266346948e+44       1.658266346948e+44       5.527552874392e+43      -3.685168344121e+52       7.154404054340e-04       1.319303779415e+00 
       7.643538043208e+13       1.293913346982e-25       6.064510671422e-09       1.260348644978e+22       1.027314575301e+04       1.344030172276e-10       7.852318038656e+17       3.501411220343e-09       9.391972187335e+43       5.033653307506e+32       5.967769161979e+33       2.131766915216e-08       5.116183148411e-09       6.681095854499e+37       6.681095850843e+37      -1.000000000000e+00       1.000000000000e-01       6.492808199900e+43       1.588478706898e+44       1.588478706898e+44       5.294927463855e+43      -3.492337592644e+52       7.255861874853e-04       1.300856115548e+00 
       7.561817796419e+13       1.322030996955e-25       6.129994289950e-09       1.233542888881e+22       1.027314575301e+04       1.358555049802e-10       7.768365638032e+17       3.539250822859e-09       8.996713836576e+43       4.873922643775e+32       5.778396618619e+33       2.131766915216e-08       5.116183148411e-09       6.448260405918e+37       6.448260401978e+37      -1.000000000000e+00       1.000000000000e-01       6.219560301621e+43       1.521628058708e+44       1.521628058708e+44       5.072092024225e+43      -3.309596936215e+52       7.357319695206e-04       1.282917240179e+00 
       7.480971254804e+13       1.350759663273e-25       6.197296897881e-09       1.207307251680e+22       1.027314575301e+04       1.373236897069e-10       7.685310807468e+17       3.577499356307e-09       8.618089815724e+43       4.719260641586e+32       5.595033349278e+33       2.131766915216e-08       5.116183148411e-09       6.223539246897e+37       6.223539242664e+37      -1.000000000000e+00       1.000000000000e-01       5.957811959714e+43       1.457590799958e+44       1.457590799958e+44       4.858634547500e+43      -3.136418398784e+52       7.458777515397e-04       1.265466390960e+00 
       7.400989077217e+13       1.380112623751e-25       6.262780516408e-09       1.181629607786e+22       1.027314575301e+04       1.388077410442e-10       7.603143950669e+17       3.616161239984e-09       8.255400073962e+43       4.569506459375e+32       5.417488664359e+33       2.131766915216e-08       5.116183148411e-09       6.006649595253e+37       6.006649590810e+37      -1.000000000000e+00       1.000000000000e-01       5.707079218778e+43       1.396248529998e+44       1.396248529998e+44       4.654160364912e+43      -2.972301631268e+52       7.560235335425e-04       1.248483920063e+00 
       7.321862022383e+13       1.410103444740e-25       6.331902113743e-09       1.156498089506e+22       1.027314575301e+04       1.403078304618e-10       7.521855573937e+17       3.655240940948e-09       7.907974021903e+43       4.424504359491e+32       5.245577925329e+33       2.131766915216e-08       5.116183148411e-09       5.797318523945e+37       5.797318519251e+37      -1.000000000000e+00       1.000000000000e-01       5.466898490527e+43       1.337487831032e+44       1.337487831032e+44       4.458291417208e+43      -2.816772465935e+52       7.661693155289e-04       1.231951220381e+00 
       7.243580947828e+13       1.440745987399e-25       6.399204721674e-09       1.131901081553e+22       1.027314575301e+04       1.418241312826e-10       7.441436285076e+17       3.694742974532e-09       7.575169291715e+43       4.284103546235e+32       5.079122352710e+33       2.131766915216e-08       5.116183148411e-09       5.595282617197e+37       5.595282612301e+37      -1.000000000000e+00       1.000000000000e-01       5.236825696652e+43       1.281200058420e+44       1.281200058420e+44       4.270665555650e+43      -2.669381546435e+52       7.763150974987e-04       1.215850657524e+00 
       7.166136808825e+13       1.472054414098e-25       6.468326319009e-09       1.107827215679e+22       1.027314575301e+04       1.433568187026e-10       7.361876792307e+17       3.734671904865e-09       7.256370549422e+43       4.148158009042e+32       4.917948840153e+33       2.131766915216e-08       5.116183148411e-09       5.400287639353e+37       5.400287634285e+37      -1.000000000000e+00       1.000000000000e-01       5.016435447747e+43       1.227281139799e+44       1.227281139799e+44       4.090935872419e+43      -2.529703029517e+52       7.864608794519e-04       1.200165507076e+00 
       7.089520657347e+13       1.504043194967e-25       6.539266905747e-09       1.084265365425e+22       1.027314575301e+04       1.449060698111e-10       7.283167903191e+17       3.775032345402e-09       6.950988357200e+43       4.016526370634e+32       4.761889774412e+33       2.131766915216e-08       5.116183148411e-09       5.212088214862e+37       5.212088209610e+37      -1.000000000000e+00       1.000000000000e-01       4.805320256793e+43       1.175631382660e+44       1.175631382660e+44       3.918770059206e+43      -2.397333354677e+52       7.966066613883e-04       1.184879896648e+00 
       7.013723641037e+13       1.536727114579e-25       6.608388503082e-09       1.061204640973e+22       1.027314575301e+04       1.464720636112e-10       7.205300523570e+17       3.815828959454e-09       6.658458083535e+43       3.889071739995e+32       4.610782861041e+33       2.131766915216e-08       5.116183148411e-09       5.030447519365e+37       5.030447513997e+37      -1.000000000000e+00       1.000000000000e-01       4.603089785739e+43       1.126155290022e+44       1.126155290022e+44       3.753849792803e+43      -2.271890078187e+52       8.067524433078e-04       1.169978752299e+00 
       6.938737002177e+13       1.570121278790e-25       6.681148079224e-09       1.038634384116e+22       1.027314575301e+04       1.480549810403e-10       7.128265656517e+17       3.857066460728e-09       6.378238859265e+43       3.765661570010e+32       4.464470955607e+33       2.131766915216e-08       5.116183148411e-09       4.855136981987e+37       4.855136976465e+37      -1.000000000000e+00       1.000000000000e-01       4.409370123796e+43       1.078761383868e+44       1.078761383868e+44       3.595870146534e+43      -2.153010768135e+52       8.168982252102e-04       1.155447748954e+00 
       6.864552076686e+13       1.604241121714e-25       6.752088665962e-09       1.016544163332e+22       1.027314575301e+04       1.496550049915e-10       7.052054401292e+17       3.898749613872e-09       6.109812577545e+43       3.646167519622e+32       4.322801900275e+33       2.131766915216e-08       5.116183148411e-09       4.685935997344e+37       4.685935991709e+37      -1.000000000000e+00       1.000000000000e-01       4.223803096099e+43       1.033362036005e+44       1.033362036005e+44       3.444539026475e+43      -2.040351957285e+52       8.270440070955e-04       1.141273264472e+00 
       6.791160293113e+13       1.639102412861e-25       6.826667231508e-09       9.949237689618e+21       1.027314575301e+04       1.512723203342e-10       6.976657952320e+17       3.940883235028e-09       5.852682935902e+43       3.530465320363e+32       4.185628365562e+33       2.131766915216e-08       5.116183148411e-09       4.522631648217e+37       4.522631642492e+37      -1.000000000000e+00       1.000000000000e-01       4.046045601464e+43       9.898733060452e+43       9.898733060452e+43       3.299576631385e+43      -1.933588150725e+52       8.371897889634e-04       1.127442337050e+00 
       6.718553171646e+13       1.674721264422e-25       6.899426807649e-09       9.737632084898e+21       1.027314575301e+04       1.529071139359e-10       6.902067598167e+17       3.983472192381e-09       5.606374518605e+43       3.418434647123e+32       4.052807697129e+33       2.131766915216e-08       5.116183148411e-09       4.365018437548e+37       4.365018431719e+37      -1.000000000000e+00       1.000000000000e-01       3.875768978021e+43       9.482147862084e+43       9.482147862084e+43       3.160714935377e+43      -1.832410885447e+52       8.473355708140e-04       1.113942625693e+00 
       6.646722323137e+13       1.711114138718e-25       6.974005373195e-09       9.530527019273e+21       1.027314575301e+04       1.545595746831e-10       6.828274720537e+17       4.026521406730e-09       5.370431917652e+43       3.309958993011e+32       3.924201767422e+33       2.131766915216e-08       5.116183148411e-09       4.212898029724e+37       4.212898023849e+37      -1.000000000000e+00       1.000000000000e-01       3.712658395534e+43       9.083094526509e+43       9.083094526509e+43       3.027697192352e+43      -1.736527839132e+52       8.574813526469e-04       1.100762373481e+00 
       6.575659448129e+13       1.748297855809e-25       7.050402928144e-09       9.327826772912e+21       1.027314575301e+04       1.562298935042e-10       6.755270793279e+17       4.070035852051e-09       5.144418890750e+43       3.204925548199e+32       3.799676832026e+33       2.131766915216e-08       5.116183148411e-09       4.066079001265e+37       4.066078995309e+37      -1.000000000000e+00       1.000000000000e-01       3.556412273305e+43       8.700835230546e+43       8.700835230546e+43       2.900277461293e+43      -1.645661985567e+52       8.676271344622e-04       1.087890373423e+00 
       6.505356335897e+13       1.786289601264e-25       7.124981493689e-09       9.129437661806e+21       1.027314575301e+04       1.579182633905e-10       6.683047381393e+17       4.114020556075e-09       4.927917554735e+43       3.103225082603e+32       3.679103390578e+33       2.131766915216e-08       5.116183148411e-09       3.924376599623e+37       3.924376593618e+37      -1.000000000000e+00       1.000000000000e-01       3.406741722570e+43       8.334663202081e+43       8.334663202081e+43       2.778220151539e+43      -1.559550794262e+52       8.777729162596e-04       1.075315936677e+00 
       6.435804863501e+13       1.825106934108e-25       7.203198038042e-09       8.935267994465e+21       1.027314575301e+04       1.596248794191e-10       6.611596140067e+17       4.158480600866e-09       4.720527612930e+43       3.004751832288e+32       3.562356052092e+33       2.131766915216e-08       5.116183148411e-09       3.787612510933e+37       3.787612504898e+37      -1.000000000000e+00       1.000000000000e-01       3.263370012362e+43       7.983901413291e+43       7.983901413291e+43       2.661299587192e+43      -1.477945471942e+52       8.879186980390e-04       1.063028862940e+00 
       6.366996994847e+13       1.864767794938e-25       7.281414582394e-09       8.745228029542e+21       1.027314575301e+04       1.613499387753e-10       6.540908813703e+17       4.203421123410e-09       4.521865615026e+43       2.909403389477e+32       3.449313404559e+33       2.131766915216e-08       5.116183148411e-09       3.655614635570e+37       3.655614629491e+37      -1.000000000000e+00       1.000000000000e-01       3.126032057854e+43       7.647901328868e+43       7.647901328868e+43       2.549299589855e+43      -1.400610243732e+52       8.980644798004e-04       1.051019412858e+00 
       6.298924779757e+13       1.905290514208e-25       7.359631126747e-09       8.559229934356e+21       1.027314575301e+04       1.630936407754e-10       6.470977234969e+17       4.248847316209e-09       4.331564248103e+43       2.817080596056e+32       3.339857888680e+33       2.131766915216e-08       5.116183148411e-09       3.528216871467e+37       3.528216865391e+37      -1.000000000000e+00       1.000000000000e-01       2.994473930236e+43       7.326041706918e+43       7.326041706918e+43       2.442013078935e+43      -1.327321671952e+52       9.082102615435e-04       1.039278282279e+00 
       6.231580353053e+13       1.946693820711e-25       7.437847671099e-09       8.377187744299e+21       1.027314575301e+04       1.648561868897e-10       6.401793323851e+17       4.294764427880e-09       4.149271657499e+43       2.727687440449e+32       3.233875675617e+33       2.131766915216e-08       5.116183148411e-09       3.405258905334e+37       3.405258899231e+37      -1.000000000000e+00       1.000000000000e-01       2.868452387215e+43       7.017727450323e+43       7.017727450323e+43       2.339241688764e+43      -1.257868010564e+52       9.183560432682e-04       1.027796578210e+00 
       6.164955933647e+13       1.988996850225e-25       7.519702194259e-09       8.199017323102e+21       1.027314575301e+04       1.666377807656e-10       6.333349086724e+17       4.341177763759e-09       3.974650796248e+43       2.641130957772e+32       3.131256548606e+33       2.131766915216e-08       5.116183148411e-09       3.286586010650e+37       3.286586004543e+37      -1.000000000000e+00       1.000000000000e-01       2.747734423279e+43       6.722388506452e+43       6.722388506452e+43       2.240795401834e+43      -1.192048593387e+52       9.285018249744e-04       1.016565796353e+00 
       6.099043823641e+13       2.032219154365e-25       7.599737728015e-09       8.024636323950e+21       1.027314575301e+04       1.684386282517e-10       6.265636615425e+17       4.388092686520e-09       3.807378801907e+43       2.557321133155e+32       3.031893788347e+33       2.131766915216e-08       5.116183148411e-09       3.172048853157e+37       3.172048847064e+37      -1.000000000000e+00       1.000000000000e-01       2.632096838881e+43       6.439478813166e+43       6.439478813166e+43       2.146492197468e+43      -1.129673254332e+52       9.386476066620e-04       1.005577800102e+00 
